Matrix_Size,Block_Dim_X,Block_Dim_Y,Kernel_Type,Data_Type,Avg_Execution_Time_ms,Execution_Time_Stddev,Total_Energy_J,Avg_Power_W,Peak_Power_W,Baseline_Power_W,Initial_Temp_C,Peak_Temp_C,Final_Temp_C,GFLOPS,GFLOPS_per_Watt,Memory_Bandwidth_GBps,Threads_per_Block
512,8,8,0,0,1.86771,0.00198047,0,29.478,29.478,29.7893,0,75,75,143.724,4.87564,1.68427,64
512,16,16,0,0,1.19867,0.00745436,0,29.873,29.873,29.6237,0,77,77,223.945,7.49656,2.62435,256
512,32,32,0,0,0.935706,0.00747522,0,29.676,29.676,29.9507,0,76,76,286.88,9.66708,3.36188,1024
512,16,32,0,0,1.16828,0.00218302,0,29.774,29.774,29.7609,0,76,76,229.771,7.71716,2.69263,512
512,32,16,0,0,0.88857,0.00606751,0,29.774,29.873,29.869,0,77,76,302.098,10.1464,3.54022,512
1024,8,8,0,0,14.5626,0.171709,1.44368,29.774,29.774,29.8383,0,76,76,147.465,4.95283,0.864056,64
1024,16,16,0,0,9.24444,0.0136929,0,0,29.873,29.8625,0,77,0,232.3,232.3,1.36113,256
1024,32,32,0,0,6.80036,0.0027533,0,29.774,29.774,29.9779,0,76,76,315.789,10.6062,1.85033,1024
1024,16,32,0,0,9.64403,1.19809,0,29.873,29.873,29.8561,0,77,77,222.675,7.45406,1.30474,512
1024,32,16,0,0,6.94835,0.0516854,0,29.577,29.577,29.9891,0,75,75,309.064,10.4495,1.81092,512
2048,8,8,0,0,96.3959,15.7753,20.4619,48.0261,62.007,29.6852,0,78,78,178.222,9.71716,0.522135,64
2048,16,16,0,0,74.9543,0.142007,11.1832,29.873,53.186,30.5079,0,77,77,229.205,7.67264,0.671498,256
2048,32,32,0,0,53.899,0.343561,7.77171,42.979,48.827,29.9136,0,77,77,318.742,24.3959,0.933815,1024
2048,16,32,0,0,71.8102,0.0304771,10.7671,29.873,49.613,29.9078,0,77,77,239.24,8.00857,0.700898,512
2048,32,16,0,0,57.4227,0.0184898,7.78913,29.774,51.646,29.9586,0,77,77,299.182,10.0484,0.876511,512
4096,8,8,0,0,604.797,32.1738,202.537,67.0341,86.505,29.8479,0,81,81,227.248,6.11109,0.332883,64
4096,16,16,0,0,346.277,45.3128,111.934,74.4213,91.786,33.5908,0,79,79,396.904,9.72078,0.581403,256
4096,32,32,0,0,256.106,45.2168,83.8319,77.3135,111.219,32.4486,0,82,81,536.648,11.9614,0.786106,1024
4096,16,32,0,0,318.653,42.5673,102.575,69.215,87.911,33.7773,0,79,79,431.312,12.171,0.631805,512
4096,32,16,0,0,283.703,38.5509,90.3467,67.8655,120.007,33.0548,0,81,81,484.447,13.9166,0.70964,512
6144,8,8,0,0,2791.05,14.4387,966.541,70.5124,90.19,32.0594,0,83,82,166.194,4.32201,0.162299,64
6144,16,16,0,0,1178.14,43.3088,400.805,68.3122,77.005,32.8137,0,80,80,393.72,11.0912,0.384492,256
6144,32,32,0,0,836.241,38.0381,282.153,67.6381,92.428,31.913,0,81,81,554.693,15.5267,0.541692,1024
6144,16,32,0,0,1058.01,30.1574,359.073,68.1453,93.536,32.0841,0,76,76,438.423,12.1577,0.428148,512
6144,32,16,0,0,934.3,30.5551,325.867,73.0942,111.412,31.1125,0,79,79,496.475,11.826,0.484839,512
8192,8,8,0,0,6645.09,18.6652,2308.45,69.5819,83.537,30.0094,0,83,77,165.462,4.18125,0.121188,64
8192,16,16,0,0,2735.89,28.3517,952.912,71.0652,111.316,29.4381,0,80,80,401.885,9.6544,0.294349,256
8192,32,32,0,0,2003.98,29.9258,688.68,69.9438,87.813,30.1895,0,84,83,548.663,13.8013,0.401853,1024
8192,16,32,0,0,2513.29,39.6432,866.383,69.4395,96.974,30.4921,0,82,82,437.479,11.2326,0.320419,512
8192,32,16,0,0,2209.89,19.2564,763.41,69.7364,105.517,30.4535,0,82,82,497.541,12.6656,0.36441,512
512,8,8,1,0,1.87941,0.00677622,0,29.396,29.396,34.5344,0,74,74,142.83,4.85881,1.67378,64
512,16,16,1,0,1.19523,0.00465479,0,29.577,29.577,29.4132,0,75,75,224.59,7.59339,2.63191,256
512,32,32,1,0,0.928858,0.00523293,0,29.396,29.396,29.6564,0,75,75,288.995,9.83111,3.38666,1024
512,16,32,1,0,1.17603,0.00747566,0,29.577,29.593,29.4982,0,75,75,228.256,7.71736,2.67488,512
512,32,16,1,0,0.88647,0.00892659,0,0,29.692,29.6606,0,76,0,302.814,302.814,3.5486,512
1024,8,8,1,0,14.4706,0.0150786,1.90644,30.087,37.138,29.8519,0,78,78,148.403,4.93247,0.86955,64
1024,16,16,1,0,9.25057,0.00673416,0,29.89,29.89,30.133,0,77,77,232.146,7.76668,1.36023,256
1024,32,32,1,0,6.79715,0.00455488,0,29.89,29.89,29.8957,0,77,77,315.939,10.5701,1.85121,1024
1024,16,32,1,0,9.04303,0.00538764,0,29.989,29.989,29.9802,0,77,77,237.474,7.9187,1.39145,512
1024,32,16,1,0,6.92917,0.0107474,0,29.89,29.89,29.9808,0,77,77,309.919,10.3687,1.81593,512
2048,8,8,1,0,97.6013,15.5978,20.2588,46.1155,61.946,29.9559,0,78,78,176.021,10.8927,0.515686,64
2048,16,16,1,0,74.8744,0.00743896,10.7073,29.791,52.825,30.3357,0,77,77,229.449,7.70196,0.672214,256
2048,32,32,1,0,53.7136,0.011041,8.83237,40.7358,49.348,29.8609,0,78,78,319.842,29.411,0.937037,1024
2048,16,32,1,0,71.7879,0.04438,10.743,29.791,49.81,30.1894,0,77,77,239.314,8.0331,0.701116,512
2048,32,16,1,0,57.419,0.0139078,8.95651,34.733,53.709,29.9181,0,78,78,299.202,62.1403,0.876568,512
4096,8,8,1,0,607.701,27.5518,215.059,71.9845,106.613,30.089,0,80,80,226.162,5.39824,0.331292,64
4096,16,16,1,0,339.607,33.5546,109.712,62.9604,96.841,33.3182,0,79,79,404.7,13.6528,0.592822,256
4096,32,32,1,0,258.548,51.9982,75.7532,56.0464,101.412,33.237,0,82,81,531.58,23.3054,0.778681,1024
4096,16,32,1,0,315.771,36.2553,89.8276,58.8002,72.063,33.6434,0,79,79,435.249,17.3014,0.637572,512
4096,32,16,1,0,282.968,39.2416,92.6179,64.0584,106.39,32.7486,0,82,81,485.705,15.5129,0.711482,512
6144,8,8,1,0,2741.34,13.6364,950.757,70.4456,90.871,32.232,0,83,83,169.208,4.42794,0.165242,64
6144,16,16,1,0,1175.98,41.3239,394.137,68.6417,73.094,32.714,0,80,80,394.443,10.9788,0.385199,256
6144,32,32,1,0,837.335,40.2192,281.588,69.138,89.76,31.9492,0,82,82,553.968,14.8961,0.540984,1024
6144,16,32,1,0,1074.15,27.9562,362.231,67.0351,85.097,31.1442,0,80,80,431.836,12.0319,0.421715,512
6144,32,16,1,0,940.617,16.368,318.863,69.6834,95.36,30.9336,0,82,81,493.141,12.7263,0.481583,512
8192,8,8,1,0,6448.71,13.8981,2241.77,69.9526,90.871,30.4286,0,83,79,170.501,4.31387,0.124879,64
8192,16,16,1,0,2744.44,23.0684,944.998,69.5186,77.248,29.6821,0,81,81,400.633,10.0569,0.293432,256
8192,32,32,1,0,1994.81,25.525,686.986,69.2234,113.251,30.268,0,83,83,551.186,14.1492,0.4037,1024
8192,16,32,1,0,2515.75,27.021,866.297,68.8991,81.541,30.5096,0,83,83,437.05,11.3846,0.320105,512
8192,32,16,1,0,2223.33,31.3201,770.507,70.1396,103.159,30.7022,0,82,82,494.534,12.5397,0.362207,512
512,8,8,2,0,1.22825,0.0297989,0,29.297,29.297,34.8649,0,74,74,218.551,7.45985,2.56115,64
512,16,16,2,0,0.80848,0.00826875,0,29.692,29.692,29.3886,0,76,76,332.025,11.1823,3.89092,256
512,32,32,2,0,0.778195,0.0299627,0,29.989,29.989,29.7665,0,77,77,344.946,11.5024,4.04234,1024
512,16,32,2,0,0.805926,0.00522089,0,29.89,29.89,30.0963,0,77,77,333.077,11.1434,3.90324,512
512,32,16,2,0,0.798912,0.00580223,0,29.89,29.89,29.9197,0,77,77,336.001,11.2413,3.93752,512
1024,8,8,2,0,9.18167,0.00755984,0,30.087,30.087,29.9629,0,77,77,233.888,7.77373,1.37044,64
1024,16,16,2,0,5.84877,0.00384483,0,29.692,29.692,30.1431,0,76,76,367.168,12.3659,2.15138,256
1024,32,32,2,0,5.37226,0.00636539,0,30.071,30.169,29.8108,0,78,78,399.736,13.2931,2.3422,1024
1024,16,32,2,0,5.85651,0.00435901,0,0,29.873,30.2242,0,77,0,366.683,366.683,2.14853,512
1024,32,16,2,0,5.85399,0.00527182,0,29.972,29.972,29.8641,0,77,77,366.841,12.2395,2.14946,512
2048,8,8,2,0,73.0176,0.00993826,11.9098,29.972,56.882,30.059,0,78,78,235.284,7.85013,0.689309,64
2048,16,16,2,0,46.288,0.0126904,5.18473,29.873,44.062,29.9994,0,77,77,371.151,12.4243,1.08736,256
2048,32,32,2,0,41.997,0.00330756,6.27267,30.071,40.444,29.9824,0,78,78,409.073,13.6036,1.19846,1024
2048,16,32,2,0,46.2905,0.00603051,6.45496,29.873,48.04,30.0463,0,78,78,371.132,12.4237,1.0873,512
2048,32,16,2,0,46.2946,0.0127706,6.68311,29.972,45.216,29.9938,0,78,78,371.099,12.3815,1.0872,512
4096,8,8,2,0,367.094,27.2528,120.709,71.7464,91.26,29.9456,0,81,81,374.398,8.95672,0.548434,64
4096,16,16,2,0,229.621,48.8077,84.2327,82.0703,111.122,33.4671,0,79,78,598.546,12.315,0.876777,256
4096,32,32,2,0,178.613,39.3426,47.9599,56.4847,97.363,32.8215,0,81,81,769.481,32.518,1.12717,1024
4096,16,32,2,0,226.813,42.3286,62.513,55.3552,70.89,33.6965,0,78,78,605.958,27.9776,0.887633,512
4096,32,16,2,0,231.036,49.3507,77.6689,78.5809,101.703,33.0489,0,81,80,594.881,13.0651,0.871408,512
6144,8,8,2,0,1347.23,11.619,462.466,67.7987,110.322,31.973,0,81,81,344.304,9.61052,0.336234,64
6144,16,16,2,0,758.215,44.4156,261.105,72.9966,107.388,32.5228,0,79,79,611.775,15.1153,0.597436,256
6144,32,32,2,0,588.873,56.7069,193.409,71.5745,92.855,31.9938,0,82,82,787.701,19.9012,0.76924,1024
6144,16,32,2,0,754.427,41.7116,256.909,66.8988,102.673,32.2251,0,79,79,614.846,17.7324,0.600435,512
6144,32,16,2,0,767.808,38.6245,262.12,67.5343,99.763,30.3777,0,82,82,604.13,16.2591,0.589971,512
8192,8,8,2,0,3249.23,13.3062,1125.72,69.6307,72.996,30.6256,0,83,83,338.392,8.67558,0.247846,64
8192,16,16,2,0,1822.45,33.7638,624.511,68.7333,89.079,30.7207,0,81,81,603.315,15.8715,0.441881,256
8192,32,32,2,0,1353.14,33.5434,458.788,70.2437,88.439,30.31,0,82,82,812.56,20.3477,0.595137,1024
8192,16,32,2,0,1805.85,21.5709,624.719,69.3213,103.512,30.4618,0,79,79,608.861,15.6683,0.445943,512
8192,32,16,2,0,1823.26,20.4292,624.741,69.0285,72.703,29.9062,0,81,81,603.048,15.4144,0.441686,512
512,8,8,3,0,1.01707,0.0049575,0,29.297,29.396,34.6981,0,74,74,263.93,9.00879,3.09294,64
512,16,16,3,0,0.677261,0.00652638,0,29.297,29.297,29.3441,0,74,74,396.355,13.5288,4.64478,256
512,32,32,3,0,0.737024,0.000936904,0,0,29.791,29.4677,0,76,0,364.215,364.215,4.26815,1024
512,16,32,3,0,0.738022,0.0127881,0,30.087,30.087,29.8852,0,78,78,363.723,12.089,4.26237,512
512,32,16,3,0,0.751053,0.00826033,0,29.791,29.791,30.1499,0,76,76,357.412,11.9973,4.18842,512
1024,8,8,3,0,7.38435,0.014803,0,30.071,30.087,29.827,0,78,78,290.815,9.67096,1.704,64
1024,16,16,3,0,4.75852,0.00249918,0,29.791,29.791,30.1448,0,76,76,451.293,15.1486,2.64429,256
1024,32,32,3,0,4.86264,0.00390635,0,30.169,30.169,29.8517,0,78,78,441.629,14.6385,2.58767,1024
1024,16,32,3,0,4.68603,0.00748227,0,29.791,29.791,30.1907,0,77,77,458.274,15.383,2.6852,512
1024,32,16,3,0,4.63997,0.00304293,0,29.972,32.027,29.8887,0,77,77,462.822,15.4418,2.71185,512
2048,8,8,3,0,58.0309,0.571544,8.59957,39.8064,54.855,30.061,0,77,77,296.047,30.3782,0.867326,64
2048,16,16,3,0,37.666,0.00263972,5.08918,29.972,49.22,29.7942,0,78,78,456.11,15.2179,1.33626,256
2048,32,32,3,0,35.8026,0.00728077,4.02698,29.972,39.853,30.0224,0,78,78,479.849,16.0099,1.40581,1024
2048,16,32,3,0,37.0831,0.0149564,5.16779,29.774,46.495,30.0533,0,77,77,463.281,15.5599,1.35727,512
2048,32,16,3,0,37.3169,0.579501,4.79576,35.348,46.298,29.8896,0,77,77,460.378,84.3429,1.34876,512
4096,8,8,3,0,292.592,30.165,95.932,59.812,105.032,29.9763,0,81,81,469.729,15.7439,0.68808,64
4096,16,16,3,0,184.781,48.8091,56.9465,77.2433,100.636,33.6553,0,79,79,743.795,17.0642,1.08954,256
4096,32,32,3,0,163.853,35.4377,44.8945,87.8898,98.952,31.1407,0,81,80,838.793,14.7807,1.2287,1024
4096,16,32,3,0,170.943,39.1472,48.0165,52.3917,99.049,33.3889,0,79,79,804.006,42.3099,1.17774,512
4096,32,16,3,0,179.795,49.1032,47.7499,45.6633,86.797,33.2902,0,79,79,764.419,61.7804,1.11975,512
6144,8,8,3,0,1044.26,13.7844,356.934,71.1778,96.877,30.7709,0,82,82,444.198,10.9931,0.433787,64
6144,16,16,3,0,583.492,27.2216,196.422,65.705,109.16,31.703,0,79,79,794.966,23.38,0.776334,256
6144,32,32,3,0,568.178,45.1367,186.343,70.367,83.882,31.6918,0,81,81,816.393,21.1089,0.797259,1024
6144,16,32,3,0,560.851,39.1118,183.728,67.3501,112.864,32.2489,0,80,80,827.059,23.5621,0.807675,512
6144,32,16,3,0,569.18,37.3762,191.643,71.8726,100.83,32.0149,0,81,81,814.955,20.4466,0.795855,512
8192,8,8,3,0,2491.51,18.1803,864.485,69.2473,94.411,30.2588,0,83,83,441.303,11.3188,0.32322,64
8192,16,16,3,0,1402.42,29.3501,474.251,68.1771,83.927,30.3535,0,80,80,784.012,20.7281,0.574227,256
8192,32,32,3,0,1398.89,27.5352,476.503,67.7311,103.675,30.2011,0,83,83,785.99,20.943,0.575677,1024
8192,16,32,3,0,1320.36,26.0234,457.298,69.4612,114.799,30.5239,0,81,81,832.736,21.3866,0.609914,512
8192,32,16,3,0,1363.68,28.6151,462.424,67.6033,86.699,30.2576,0,82,82,806.28,21.5896,0.590537,512
512,8,8,4,0,1.06675,0.00387683,0,29.396,29.396,34.8016,0,74,74,251.64,8.56034,2.9489,64
512,16,16,4,0,1.02632,0.00689835,0,0,29.791,29.4743,0,76,0,261.551,261.551,3.06505,256
512,32,32,4,0,0.61351,0.00896418,0,30.087,30.087,29.868,0,78,78,437.54,14.5425,5.12742,1024
512,16,32,4,0,0.580755,0.0171512,0,0,29.791,30.1431,0,76,0,462.218,462.218,5.41662,512
512,32,16,4,0,0.954157,0.000953926,0,30.087,30.087,29.8429,0,78,78,281.333,9.35064,3.29687,512
1024,8,8,4,0,8.07002,0.00409834,0,29.791,29.791,30.1743,0,76,76,266.106,8.93245,1.55922,64
1024,16,16,4,0,7.70511,0.00703873,0,0,30.087,29.927,0,78,0,278.709,278.709,1.63306,256
1024,32,32,4,0,4.26326,0.0069085,0,29.774,29.774,30.1269,0,76,76,503.718,16.9181,2.95147,1024
1024,16,32,4,0,3.98514,0.00691115,0,30.071,30.071,29.833,0,78,78,538.873,17.92,3.15746,512
1024,32,16,4,0,7.2076,0.0105762,0,29.774,29.774,30.1397,0,76,76,297.947,10.007,1.74578,512
2048,8,8,4,0,63.9955,0.0340485,9.06149,29.972,50.399,29.8935,0,78,78,268.454,8.95684,0.786488,64
2048,16,16,4,0,61.2966,0.00882535,8.35326,38.7596,51.941,30.0593,0,78,78,280.274,32.2142,0.821117,256
2048,32,32,4,0,35.2981,0.00702408,3.89429,29.972,39.754,30.0815,0,77,77,486.708,16.2388,1.4259,1024
2048,16,32,4,0,32.2805,0.122851,2.89591,29.774,48.925,29.9816,0,77,77,532.206,17.8748,1.5592,512
2048,32,16,4,0,57.0697,0.00528579,8.02638,37.5398,47.745,29.7835,0,78,78,301.033,38.8115,0.881933,512
4096,8,8,4,0,271.081,37.5965,86.4128,69.8212,94.119,29.9799,0,80,80,507.003,12.7256,0.74268,64
4096,16,16,4,0,274.545,37.8759,86.9232,75.7489,99.049,33.2616,0,80,80,500.606,11.7825,0.73331,256
4096,32,32,4,0,154.909,43.5081,38.4721,51.53,85.779,33.3861,0,79,79,887.225,48.8995,1.29965,1024
4096,16,32,4,0,157.59,44.8416,44.076,60.2117,88.495,33.1899,0,79,79,872.13,32.2751,1.27753,512
4096,32,16,4,0,238.976,45.8207,74.6262,62.4826,94.703,33.2614,0,80,80,575.117,19.6815,0.842456,512
6144,8,8,4,0,908.059,37.9104,310.286,69.4369,95.48,31.9861,0,81,80,510.822,13.6398,0.498849,64
6144,16,16,4,0,951.794,37.0239,325.828,68.0922,115.136,32.2147,0,82,81,487.35,13.5837,0.475927,256
6144,32,32,4,0,483.916,44.3069,154.651,64.7968,84.902,32.1582,0,79,79,958.548,29.3685,0.936082,1024
6144,16,32,4,0,477.391,42.2441,153.289,63.7273,98.564,31.5467,0,81,81,971.649,30.1937,0.948876,512
6144,32,16,4,0,772.138,49.3679,258.763,72.6689,98.758,32.0628,0,80,80,600.743,14.7944,0.586663,512
8192,8,8,4,0,2148.9,39.7119,742.178,70.9155,102.543,30.2271,0,83,82,511.663,12.5752,0.374754,64
8192,16,16,4,0,2218.06,26.1773,766.56,70.9227,101.8,30.1948,0,81,81,495.708,12.1712,0.363067,256
8192,32,32,4,0,1137.89,35.8993,380.857,69.4743,79.785,30.3576,0,81,81,966.272,24.7023,0.707719,1024
8192,16,32,4,0,1138.6,41.4388,382.959,69.4269,82.952,30.2925,0,81,81,965.674,24.6758,0.707281,512
8192,32,16,4,0,1848.64,26.7742,629.474,69.5312,77.883,30.3717,0,83,83,594.767,15.1883,0.43562,512
512,8,8,5,0,1.56664,0.0588998,0,29.281,29.297,34.773,0,74,74,171.344,5.85172,2.00794,64
512,16,16,5,0,1.06262,0.0109444,0,29.676,29.676,29.3993,0,76,76,252.617,8.51251,2.96036,256
512,32,32,5,0,1.00427,0.0278684,0,0,29.873,29.7718,0,77,0,267.294,267.294,3.13236,1024
512,16,32,5,0,1.05652,0.00627529,0,29.972,30.071,29.9219,0,78,77,254.074,8.47704,2.97743,512
512,32,16,5,0,1.05147,0.00219963,0,29.774,29.873,30.0626,0,77,76,255.296,8.57445,2.99175,512
1024,8,8,5,0,11.7332,0.0047144,0,29.972,30.268,29.9118,0,77,77,183.027,6.1066,1.07242,64
1024,16,16,5,0,7.88172,0.010299,0,29.972,29.972,30.0499,0,77,77,272.464,9.09062,1.59647,256
1024,32,32,5,0,7.1009,0.00284541,0,29.972,29.972,30.0765,0,77,77,302.424,10.0902,1.77202,1024
1024,16,32,5,0,7.86746,0.00399298,0,29.873,29.873,30.0419,0,77,77,272.958,9.13727,1.59936,512
1024,32,16,5,0,7.8705,0.00570533,0,0,29.873,29.9278,0,77,0,272.852,272.852,1.59874,512
2048,8,8,5,0,87.7182,6.97865,17.4606,37.9836,57.765,29.925,0,78,78,195.853,24.3037,0.573788,64
2048,16,16,5,0,62.3107,0.00452443,9.70996,29.972,53.186,30.0515,0,78,78,275.713,9.19903,0.807753,256
2048,32,32,5,0,55.8221,0.00623639,7.30558,29.972,41.503,30.089,0,78,78,307.761,10.2683,0.901643,1024
2048,16,32,5,0,62.3168,0.00355113,9.11986,42.5834,53.088,30.035,0,77,77,275.686,21.9699,0.807674,512
2048,32,16,5,0,62.3085,0.00457692,8.68142,34.6542,53.383,29.9467,0,78,78,275.723,58.5715,0.807781,512
4096,8,8,5,0,450.703,45.1996,147.817,67.5676,86.699,30.0788,0,82,82,304.944,8.13425,0.446695,64
4096,16,16,5,0,285.937,54.5353,90.7708,75.5926,95.517,33.3802,0,78,78,480.662,11.3868,0.704095,256
4096,32,32,5,0,229.873,50.0909,73.1873,77.0224,89.468,33.0287,0,81,81,597.891,13.5904,0.875817,1024
4096,16,32,5,0,275.326,32.4315,85.8218,60.7047,115.039,33.3098,0,80,79,499.186,18.2219,0.73123,512
4096,32,16,5,0,276.183,32.3435,83.8425,57.4296,96.877,33.1207,0,80,80,497.638,20.4714,0.728962,512
6144,8,8,5,0,1597.92,20.9327,547.923,69.1297,82.66,31.922,0,82,82,290.289,7.80184,0.283485,64
6144,16,16,5,0,958.983,41.7242,327.11,73.1678,107.417,32.6181,0,79,79,483.696,11.9285,0.47236,256
6144,32,32,5,0,735.928,54.4907,249.055,67.8713,93.595,31.5046,0,82,82,630.302,17.3318,0.615529,1024
6144,16,32,5,0,958.254,33.2516,324.619,67.2336,106.128,32.5207,0,79,79,484.064,13.9448,0.472719,512
6144,32,16,5,0,969.58,22.2777,332.897,67.5144,108.675,31.2397,0,82,82,478.41,13.1885,0.467197,512
8192,8,8,5,0,3861.66,31.6167,1349.17,69.8111,106.807,30.4804,0,83,83,284.725,7.23925,0.208539,64
8192,16,16,5,0,2265.59,37.1913,779.389,68.7067,84.025,30.6609,0,81,81,485.309,12.7559,0.355451,256
8192,32,32,5,0,1710.75,40.5927,582.726,68.3131,90.831,30.3302,0,82,82,642.707,16.921,0.470733,1024
8192,16,32,5,0,2272.29,24.3685,788.052,69.9268,109.741,30.4056,0,82,82,483.879,12.2435,0.354403,512
8192,32,16,5,0,2276.09,30.9042,786.928,69.7494,101.121,30.4344,0,82,82,483.071,12.2872,0.353812,512
